Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
BLOOMINGVILE,"Декор & Разное, Sale",Зеркала,Оригинальные,27160005,27160005.jpg,Зеркало двухсторонее BL,медный,D20 X H35 CM,"металл, зеркало","5,000",шт,"2 730,00","Зеркало двухсторонее, с одной стороны увеличительное",традиционный
BLOOMINGVILE,"Декор & Разное, Sale",Зеркала,Настенные,908005,908005.JPG,Зеркало в раме  BL,натуральный,H170 X W50 X L5 CM,"дерево, зеркало","4,000",шт,"33 495,00",Зеркало настенное в деревянной раме,традиционный
COTE TABLE,"Декор & Разное, Sale",Зеркала,Настенные,23779,23779_VAR.jpg,Зеркало СT,белый,H87 X W67 CM,"дерево, зеркало","1,000",шт,"7 455,00",Зеркало овальное в белой деревяной раме,традиционный
COTE TABLE,"Декор & Разное, Sale",Зеркала,"Настенные, Оригинальные",25646,25646_STD.jpg,Зеркало СТ,серебряный,H27.5 X W82 X L2 CM,"металл, зеркало","3,000",шт,"5 460,00",Зеркало настенный декор,традиционный
COTE TABLE,"Декор & Разное, Sale",Зеркала,"Настенные, Оригинальные",24525,24525_VAR.jpg,Зеркало СТ,серебряный,"Н97 Х W69 X L2,5 CM","металл, зеркало","1,000",шт,"4 095,00","Зеркало геометрическое, настенный декор",традиционный
COTE TABLE,"Декор & Разное, Sale",Зеркала,"Настенные, Оригинальные",25647,25647_STD.jpg,Зеркало СТ,серебряный,H27.5 X W110 X L2 CM,"металл, зеркало","2,000",шт,"7 455,00",Зеркало настенный декор,традиционный
COTE TABLE,"Декор & Разное, Sale",Зеркала,"Настенные, Оригинальные",25648,25648_STD.jpg,Зеркало СТ,серебряный,H27.5 X W137 X L2 CM,"металл, зеркало","1,000",шт,"8 820,00",Зеркало настенный декор,традиционный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-A1/SI,M2A1SI.jpg,Зеркало DD,серебряный,L35 X W28 X H5 CM,"металл, зеркало","6,000",шт,"11 375,00",Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-W5/SI,M2W5SI.jpg,Зеркало DD,прозрачный,D90 X H2 CM,зеркало,"1,000",шт,"25 988,00",Зеркало в зеркале,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-A1/GO,M2A1GO.jpg,Зеркало DD,золотистый,L35 X W28 X H5 CM,"металл, зеркало","2,000",шт,"13 125,00",Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-A2/GO,M2A2GO.jpg,Зеркало DD,золотистый,L70 X W38 X H6 CM,"металл, зеркало","2,000",шт,"15 750,00",Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-A2/SI,M2A2SI.jpg,Зеркало DD,серебряный,L70 X W38 CM,"металл, зеркало","6,000",шт,"13 650,00",Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-S3/SI,F7S3SI.jpg,Зеркало DD,серебряный,"D17,5 x H4 см","металл, зеркало","5,000",шт,"1 244,00","Зеркало декор, композиционный",современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-G1/GL,,Зеркало DD,прозрачный,L86 x W86 x H3 см,зеркало,"2,000",шт,"20 475,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-S1/BLA,,Зеркало DD,черный,D90 X L2 CM,,"4,000",шт,"26 250,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-W4/BR,,Зеркало DD,коричневый,D38 CM,"дерево, зеркало","11,000",шт,"2 363,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-S2/BRO,M2-S2BRO.jpg,Зеркало DD,бронзовый,D82 X H10 CM,"металл, зеркало","1,000",шт,"21 263,00",Круглое зеркало,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",M4-S2/COP,M4-S2COP.jpg,Зеркало DD,медный,L20 X W17 X H9 CM,"металл, зеркало","1,000",шт,"3 145,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",M4-S2/GRI,M4-S2GRI.jpg,Зеркало DD,серый,L20 X W17 X H9 CM,"металл, зеркало","1,000",шт,"3 145,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-W4/BLA,M2W4BLA.jpg,Зеркало DD,черный,H90 X W75 CM,,"1,000",шт,"23 625,00",Зеркало ,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M6-S2/BRO,M6S2BRO.jpg,Зеркало DD,бронзовый,L45 X W190 X H6 CM,"металл, зеркало","1,000",шт,"30 975,00",Зеркало в металлической раме,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-G2/GL,,Зеркало DD,прозрачный,,,"1,000",шт,"20 475,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-W2/BLA,M2W2BLA.jpg,Зеркало DD,прозрачный,L120 X W80 X H 1.6 CM,,"2,000",шт,"16 538,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",M2-W8/SI,m2w8si.jpg,Зеркало DD,прозрачный,L120 X W80 X H 1.6 CM,,"1,000",шт,"18 428,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M4-W4/BLA,M4W4BLA.jpg,Зеркало DD,черный,L150 X W65 X H1.8 CM,,"1,000",шт,"15 593,00",Зеркало в черной раме,современный
DomeDeco,Декор & Разное,Зеркала,"Настенные, Оригинальные",F7-S13/DBRO,F7S13DBRO.tif,Зеркало DD (наб. из 4 шт),бронзовый,"D10 X H 14 CM, D16 X H 11 CM, D19,5 X H 9 CM, D23","металл, зеркало","6,000",наб,"8 980,00",Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-S8/GO,M2S8GO.jpg,Зеркало круглое DD,золотистый,D90 X H2 CM,"металл, зеркало","4,000",шт,"15 590,00",Круглое зеркало,современный
DomeDeco,Декор & Разное,Зеркала,Настенные,M2-A6/BRO,M2A6BRO.jpg,Зеркало круглое DD,бронзовый,D74 X H2 CM,"металл, зеркало","2,000",шт,"18 428,00",Круглое зеркало,современный
