Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Vandeheg,Освещение,"Все освещение, Sale",Лампы настольные,2468001,2468001.jpg,Лампа наст. VAN (абж 513411),коричневый,Осн. H48 X D15 CM  Аб.: 25x19x35 CM,"металл, тканевый абажур",2,шт,"3 833,00",,классика
Vandeheg,Освещение,"Все освещение, Sale",Лампы настольные,2193001,2193001.jpg,Лампа наст. VAN GLADIATOR  (абж 514415),черный,H68 x D40 CM ,"металл, тканевый абажур",2,шт,"5 198,00",сатин,современный
Vandeheg,Освещение,"Все освещение, Sale",Лампы настольные,265908,265908.jpg,Лампа наст. VAN GOLDEN SUN,черно-золотой,H70 X D39 CM,металл,1,шт,"10 448,00","лампа полностью выполнена из металла, черного цвета. Абажур лампы может выдвигаться вверх и регулировать положение ",современный
Vandeheg,Освещение,"Все освещение, Sale",Лампы настольные,2445002,,Лампа наст. VAN LASSE  (абж 514415),коричневый,H65 X D45 CM ,"дерево, тканевый абажур",2,шт,"6 248,00","основание выполено в дереве, конусный абарур серого цвета",современный
Jolipa,Освещение,"Все освещение, Sale",Лампы настольные,52928,52928.jpg,Лампа настольная  JLP,серый/бежевый, H46 X W25 X L25 CM,"металл, тканевый абажур",4,шт,"1 865,00","основание из металла, белого цвета, с бережым конусным абажуром",традиционный 
Jolipa,Освещение,"Все освещение, Sale",Лампы настольные,52939,52939.jpg,Лампа настольная  JLP,серый, H39 X W22 X L22 CM,"металл, тканевый абажур",4,шт,"1 515,00","фигурное основание из металла, белого цвета, с серым конусным абажуром",традиционный 
Jolipa,Освещение,"Все освещение, Sale",Лампы настольные,18591,18591.jpg,Лампа настольная  JLP,кремовый,H47 X W13 X L13 CM,"дерево, тканевый абажур",1,шт,"2 214,00","фигурное основание кремовогоцвета, выполнено из дерева кипарис , с кремовым конусным абажуром",традиционный 
Jolipa,Освещение,"Все освещение, Sale",Лампы настольные,18595,18595.jpg,Лампа настольная  L JLP,бело-бежевый, H61 X W 15 X L15 CM,"дерево, тканевый абажур",2,шт,"3 613,00","фигурное основание белого цвета, выполнено из дерева кипарис , с бежевым конусным абажуром",традиционный 
BLOOMINGVILE,Освещение,"Все освещение, Sale",Лампы настольные,725001,,Лампа настольная BL,черный,Н116 Х D24 CM,металл,1,шт,"10 395,00","лампа выполнена полностью из металла, черного цвета,  с фиксацией в нужной вам позиции",современный 
BLOOMINGVILE,Освещение,"Все освещение, Sale",Лампы настольные,583001,,Лампа настольная BL,серебрянный,,металл,2,шт,"10 952,00","лампа выполнена полностью из металла, черного цвета,  с фиксацией в нужной вам позиции",современный 
