Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
DomeDeco,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",F12-G8/BR,F12G8BR.jpg,"Консоль ""Thino""DD","золотой, коричневый",H70 X W100 X L40 CM,"металл, стекло",3,шт,"40 950,00",,современный
Domicil,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",CAI-CON-DM911-E09,,Консоль DM,черный,Н85 X W45 X L170 CM,дерево,1,шт,"66 262,00",(вишня),классика
Durieux,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",D645,D645 B.tif,Консоль DR,white over grey,H57 X W40 X L34 CM,дерево,2,шт,"8 085,00",сосна,традиционный
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",18835,18835.jpg,Консоль JLP,белый,H81 X W110 X L34 CM,дерево,2,шт,"12 821,00",,традиционный
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",91941,91941.jpg,Консоль JLP,серый,H80 X W98 X L34 CM,дерево,4,шт,"12 121,00",,традиционный
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",18724/BLA,,Консоль JLP,"черный, золотой",H76 X W136 X L45 CM,дерево,1,шт,"27 570,00",адамово,классика
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",18724,18724.jpg,Консоль JLP,белый,H76 X W136 X L45 CM,дерево,2,шт,"27 389,00",адамово,классика
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",22513,22513.jpg,Консоль JLP,белый,H75 X W109 X L40 CM,дерево,1,шт,"17 366,00",адамово,классика
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",41944,41944.jpg,Консоль JLP,белый,,"дерево, металл, ротанг",3,шт,"25 058,00",адамово,традиционный
Jolipa,Мебель,"Ванная, Кабинет, Столовая & Кухня, Спальня","Консоли, Консоль",42624,42624.jpg,Консоль JLP,белый,W75.5 X W72.5 X L53.5 CM,металл,1,шт,"13 054,00",,традиционный
