Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T16EB/CV-BR,F15T16EBCVBR.jpg,"Кресло ""Baron"" Dome Deco",коричневый," H74 X W73,5 X L66 CM","дерево, ткань",2,шт,43225,"Кресло ""Барон"", каркас выполнен из натурального дерева, коричневого цвета. Обитое велюровой тканью, кофейного цвета . Идельно решения для лаунж зоны.",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T19/AS7,F15T19AS7.jpg,"Кресло ""Cocoon"" Dome Deco",синий,H105 X W80 X L75 CM,"дерево, ткань",1,шт,45045,"Кресло ""Кокон""с подлокотниками, ножки из натурального дерева, в черном цвете, обитое тканью ""Aspen "" синего цвета. Кресло можно использовать как к письменному столу, в прихожей и лаунж зоне.",современный
Dome Deco,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T19/AS4,F15T19AS4.jpg,"Кресло ""Cocoon"" Dome Deco",белый,H105 X W80 X L75 CM,"дерево, ткань",2,шт,45045,"Кресло ""Кокон""с подлокотниками, ножки из натурального дерева, в черном цвете, обитое тканью ""Aspen "" белого цвета. Кресло можно использовать как к письменному столу, в прихожей и лаунж зоне.",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T20/GV40,F15T20GV40.jpg,"Кресло ""Cube"" Dome Deco",зеленый,H66 X W75 X L90 CM,"металл, ткань",1,шт,54145,"Кресло ""Кьюб"" с подлокотниками, ножки из черного металла, обитое тканью ""Glam"" зеленого цвета, состав которой : 59% полиэстер и 41% коттон. Широкие подлокотники и массивность этой модели подходит для кабинета, лаунж зоны и гостинной",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T11/NA,F15T11BE_2.jpg,"Кресло ""Jenny"" Dome Deco",натуральный,H91 X W77 X L80 CM,"дерево, ткань",4,шт,36270,"Кресло ""Дженни"" с подлокотниками,ножки из натурального дерева, обито тканью из 100% льна. ",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T26/ST9,F15T26ST9.jpg,"Кресло ""Milo"" Dome Deco",серый,H85 X W70 X L80 CM,"металл, ткань",2,шт,40950,"Кресло ""Мило"" с металлическими черными подлокотниками, обитое серой ткань ""Soft touch"" состав: 59% полиэстер и 41% коттон. Эта модель идельно подходит для лаунж зоны.",современный
Riviera Maison,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,106060,106060.jpg,"Кресло ""Nicolas Wing Chair"" Riviera Maison","коричневый, белый",H102 X W88 X L67 CM,"ротанг, ткань",1,шт,41622,"Кресло ""Nicolas"" из ратанга с подлокотниками, с мягкой белой подушкой. Эта модель кресла может создать необкновенный уют в детской.",традиционный
Dome Deco,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,ADA-1519/TA,ada1519ta.jpg,"Кресло ""Verdon"" Dome Deco",золотой,"H84,5 X W65,5 X L62 CM","дерево, ткань",6,шт,11375,"Кресло ""Вердон"" с деревянными черными ножками, обитое золотым бархатом. Эта модель кресла может использоваться как в обеденной зоне, так и в кабинете.",современный
BLOOMINGVILE,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,897002,897002.JPG,Кресло BLOOMINGVILE,черный,Н88 Х W72 X L80 CM,ротанг,1,шт,10395,"Ратанговое кресло черного цвета, очень стильный вариант для вашей зоны отдыха.",традиционный
Durieux,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,DT02/LIVER,,Кресло CAMBRIDGE Durieux,,H92 X W74 X L65 CM,"дерево, ткань",1,шт,10903,Кресло обеденной посадки в трюфельном (серо-бежевом) цвете. Ноги сделаны из сосны.          ,классика
