Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Dome Deco,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",F13-W10/BR,F13W10BR.jpg,Комод DD,коричневый,L180 X W51 X H60 CM,дерево,"1,000",шт,"75 075,00",Комод DD,современный
Dome Deco,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",F13-W20/WA,F13W20WA (1).jpg,Комод из орехового дерева DD,грецкий орех,L180 X W45 X H77 CM,дерево,"1,000",шт,"126 945,00",Комод из орехового дерева DD,современный
Dome Deco,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",F13-W17/BR,F13W17BR.jpg,"Тумба TV ""Triangle"" DD",коричневый,L180 X W45 X H58 CM,дерево,"1,000",шт,"136 045,00","Тумба TV ""Triangle"" DD с  золотистыми ножками",современный
Dome Deco,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",F13-W12/BR,F13W12BR.jpg,Тумба TV DD,коричневый,L180 X W45 X H55 CM,дерево,"1,000",шт,"70 525,00",Тумба TV DD,современный
Dome Deco,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",F13-W14/BR,F13W14BR.jpg,Тумба TV DD,коричневый,L200 X W50 X H53 CM,дерево,"1,000",шт,"68 250,00",Тумба TV DD,современный
Duriex,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",D231/ECRU,D231.jpg,Комод DR,кремовый,L100 X W50 X H100 CM,дерево,"1,000",шт,"18 988,00","Комод 100x50x100, массив сосны, цвет бежевый",традиционный
Duriex,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",D411/BLA,D411.jpg,Тумба TV DR,античный чёрный,L129 X W50 X H70 CM,дерево,"1,000",шт,"19 355,00",Тумба TV DR,традиционный
Duriex,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",D566,D566.jpg,Тумба TV DR,белый,L150 X W40 X H50 CM,дерево,"1,000",шт,"16 048,00",Тумба TV DR,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",49068,49068.jpg,Комод JLP,белый,L105 X W50 X H85 CM,дерево,"2,000",шт,"33 800,00",Комод JLP,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",42263,42263.jpg,Комод JLP,белый,L100 X W45 X H85 CM,дерево,"1,000",шт,"23 310,00",Комод JLP,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",46486,46486.jpg,Комод JLP,белый,L67 X W41 X H103 CM,дерево,"1,000",шт,"22 145,00",Комод JLP,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",47404,47404.jpg,Комод JLP,белый,L67 X W41 X H103 CM,дерево,"1,000",шт,"23 310,00",Комод JLP,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",51236,51236.jpg,Комод JLP,белый,L79 X W38 X H93 CM,дерево,"1,000",шт,"20 979,00",Комод JLP,традиционный
Jolipa,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",39509,39509.jpg,Комод для украшений JLP,белый,L48 X W36 X H112 CM,дерево,"2,000",шт,"17 366,00",Комод для украшений JLP,традиционный
