Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные наволочки,737301,737301.JPG,Наволочка BL,серый,L60 X W40 CM,хлопок,12,шт,2205,Наволочка ручной вязки,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные наволочки,957100,957100.jpg,Наволочка джинс BL 50x50cm,голубой, L50 X W50 CM,джинс,6,шт,2100,Наволочка из джинсовой ткани,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100056,90100056.jpg,Подушка BL,"чёрно, белый",D 45 CM,хлопок,9,шт,2310,,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,73300000,73300000.jpg,Подушка BL,"бежевый, золотой",L45 X W45 CM,хлопок,4,шт,1208,,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90300029,90300029.jpg,Подушка BL,"черный розовый, зеленый", L45 X W45 CM,хлопок,3,шт,2100,Подушка с цветочный принт,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,55000100,55000100.jpg,Подушка BL,"тёмно, синий",L40 X W40 CM,"бархат, холст",4,шт,2310,,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100033,90100033.jpg,Подушка BL,"розовый, зеленый",L45 X W45 CM,хлопок,3,шт,2100,"Подушка с принтом весенние цветы, ботанические цветы",классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100034,90100034.jpg,Подушка BL,белый,L45 X W45 CM,хлопок,1,шт,2100,"Подушка с принтом весенние цветы, ботанические цветы",классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100031,90100031.jpg,Подушка BL,бирюзовый,L45 X W45 CM,хлопок,1,шт,2100,"Подушка с принтом весенние цветы, ботанические цветы",классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,907052,907052.JPG,Подушка BL,красный,L50 X W50 CM,полиэстер,2,шт,1344,Подушка с обращением,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,907053,907053.JPG,Подушка BL,"чёрно, белый",L50 X W50 CM,полиэстер,3,шт,1680,Подушка с обращением,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,907054,907054.JPG,Подушка BL,"чёрно, белый",L50 X W50 CM,полиэстер,2,шт,2100,Подушка с обращением,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,959061,959061.jpg,Подушка BL 45x45cm,серый,L45 X W45 CM,полиэстер,4,шт,2100,Подушка из коллекции Радуга голубых оттенков,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100009,90100009.jpg,Подушка BL Coral Fiat 45x45cm,"серый, розовый",L45 X W45 CM,хлопок,2,шт,1995,"Подушка Розовый Фиат, из коллекции Мягкие и пыльные тона",классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100008,90100008.jpg,Подушка BL Nude 45x45cm,"серый, розовый",L45 X W45 CM,хлопок,3,шт,2100,,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,90100013,90100013.jpg,Подушка BL Winter Sky,"голубой, серый",L45 X W45 CM,полиэстер,3,шт,1995,Подушка мопед Vespa,классика
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,BAR4545/BL,bar4545bl.jpg,"Подушка ""Barrow"" DD",синий,L45 X W45 CM,хлопок/бархат,7,шт,1185,"Подушка ""Barrow"" синего цвета",современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,BAR4545/TU,bar4545tu.jpg,"Подушка ""Barrow"" DD",бирюзовый,L45 X W45 CM,хлопок/бархат,9,шт,1185,"Подушка ""Barrow"" бирюзового цвета",современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,BAR4545/OR,BAR4545OR.jpg,"Подушка ""Barrow"" DD",оранжевый,L45 X W45 CM,хлопок/бархат,5,шт,1181,"Подушка ""Barrow"" оранжевого цвета",современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,DOT4040/YE,DOT4040YE.jpg,"Подушка ""Dotz"" DD",желтый,L40 X W40 CM,хлопок,3,шт,3310,"Подушка ""Dotz"" ",современный
